LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,2018-07-31,15:33:54.606,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:452 Cleaning up tasks we originated and destined to removed nodes,9d773fac,taskmanagerservice.cpp:452 Cleaning up tasks we originated and destined to removed nodes
2,2018-07-31,15:33:54.606,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:463 Cleaning up subtasks of completed tasks as well as attributes and responses of requests that have been removed,f2dc2e6d,taskmanagerservice.cpp:463 Cleaning up subtasks of completed tasks as well as attributes and responses of requests that have been removed
3,2018-07-31,15:33:54.609,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:382 Pruning completed tasks older than 96:00:00,23cf8df6,taskmanagerservice.cpp:382 Pruning completed tasks older than 96:00:00
4,2018-07-31,15:33:54.609,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:386 Earliest task time to keep is 1532705634 (2018-Jul-27 15:33:54),7f096e9e,taskmanagerservice.cpp:386 Earliest task time to keep is 1532705634 (2018-Jul-27 15:33:54)
5,2018-07-31,15:33:54.610,ERROR,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:369 Could not locate my earliest time of any tasks: Database Failure: Query for constrained minimum value returned no results.,8ef683d7,taskmanagerservice.cpp:369 Could not locate my earliest time of any tasks: Database Failure: Query for constrained minimum value returned no results.
6,2018-07-31,15:33:54.610,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:446 Task pruning complete.,b9886890,taskmanagerservice.cpp:446 Task pruning complete.
7,2018-07-31,17:47:17.021,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1585 Processing request task_request[id = 5ecfe5b3-7432-4e91-8812-b7f3827bd336, owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = 1533059229, task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]",804643bf,"taskmanagerservice.cpp:1585 Processing request task_request[id = <*> owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = <*> task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]"
8,2018-07-31,17:47:17.021,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:1617 Task 5ecfe5b3-7432-4e91-8812-b7f3827bd336 Response: task_affected_objects = 1|43:policy:c65ce991-d237-4e12-ab8a-5e146f80c23a|,76aa3d2a,taskmanagerservice.cpp:1617 Task 5ecfe5b3-7432-4e91-8812-b7f3827bd336 Response: task_affected_objects = 1|43:policy:c65ce991-d237-4e12-ab8a-5e146f80c23a|
9,2018-07-31,17:47:17.022,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1647 Task Request task_request[id = 5ecfe5b3-7432-4e91-8812-b7f3827bd336, owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = 1533059229, task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]: Successful (Result::done)",13375c35,"taskmanagerservice.cpp:1647 Task Request task_request[id = <*> owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = <*> task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]: Successful (Result::done)"
10,2018-07-31,17:47:17.033,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2098 Task com.simplivity.task.hms.uvt.update:task_invisible = 1, task_priority = 2000, task_transitory = 1, uvt_id = 5ecfe5b3-7432-4e91-8812-b7f3827bd336, uvt_status = Completed created with id c68bda54-e08e-4664-8eb6-fab42b23880f",4abd2e97,"taskmanagerservice.cpp:2098 Task com.simplivity.task.hms.uvt.update:task_invisible = 1, task_priority = 2000, task_transitory = 1, uvt_id = <*> uvt_status = Completed created with id <*>"
11,2018-07-31,17:47:17.033,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:3531 Created async task c68bda54-e08e-4664-8eb6-fab42b23880f of type com.simplivity.task.hms.uvt.update from 5ecfe5b3-7432-4e91-8812-b7f3827bd336,2fcdd218,taskmanagerservice.cpp:3531 Created async task c68bda54-e08e-4664-8eb6-fab42b23880f of type com.simplivity.task.hms.uvt.update from 5ecfe5b3-7432-4e91-8812-b7f3827bd336
12,2018-07-31,18:01:14.407,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2098 Task com.simplivity.task.vmware.datastore.create.getvmkernelnics:session_map = 1|12:10.1.182.211:50:{SVT-UPN-TAG}administrator@SCRUMAD13.HYPER-V.LOCAL|, task_priority = 2000 created with id 1c894b8b-7e76-448b-b914-b07c6c4e1959",4554512a,"taskmanagerservice.cpp:2098 Task com.simplivity.task.vmware.datastore.create.getvmkernelnics:session_map = 1|12:10.1.182.211:50:{SVT-UPN-TAG}administrator@SCRUMAD13.HYPER-V.LOCAL|, task_priority = 2000 created with id 1c894b8b-7e76-448b-b914-b07c6c4e1959"
13,2018-07-31,19:37:49.417,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1585 Processing request task_request[id = c4194d8e-4f44-436b-a640-efc651f7dc43, owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = 1533065867, task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]",804643bf,"taskmanagerservice.cpp:1585 Processing request task_request[id = <*> owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = <*> task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]"
14,2018-07-31,19:37:49.418,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:1617 Task c4194d8e-4f44-436b-a640-efc651f7dc43 Response: task_affected_objects = 1|43:policy:e6bf0426-65b5-4611-8141-bbb128829e6d|,974a993e,taskmanagerservice.cpp:1617 Task c4194d8e-4f44-436b-a640-efc651f7dc43 Response: task_affected_objects = 1|43:policy:e6bf0426-65b5-4611-8141-bbb128829e6d|
15,2018-07-31,19:37:49.418,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1647 Task Request task_request[id = c4194d8e-4f44-436b-a640-efc651f7dc43, owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = 1533065867, task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]: Successful (Result::done)",13375c35,"taskmanagerservice.cpp:1647 Task Request task_request[id = <*> owner = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, seq_num = 0, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = 4aac7431-8dfe-4282-a9b1-2b9fd200b3b7, task_feature_level = 1161, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = <*> task_stunned = 0, task_type = com.simplivity.task.backup_policy.create]: Successful (Result::done)"
16,2018-07-31,19:37:49.424,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2098 Task com.simplivity.task.hms.uvt.update:task_invisible = 1, task_priority = 2000, task_transitory = 1, uvt_id = c4194d8e-4f44-436b-a640-efc651f7dc43, uvt_status = Completed created with id 73b9eb8f-8ea7-4d61-ab3b-50a1de5e6890",4abd2e97,"taskmanagerservice.cpp:2098 Task com.simplivity.task.hms.uvt.update:task_invisible = 1, task_priority = 2000, task_transitory = 1, uvt_id = <*> uvt_status = Completed created with id <*>"
17,2018-07-31,19:37:49.424,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:3531 Created async task 73b9eb8f-8ea7-4d61-ab3b-50a1de5e6890 of type com.simplivity.task.hms.uvt.update from c4194d8e-4f44-436b-a640-efc651f7dc43,29d0f9e8,taskmanagerservice.cpp:3531 Created async task 73b9eb8f-8ea7-4d61-ab3b-50a1de5e6890 of type com.simplivity.task.hms.uvt.update from c4194d8e-4f44-436b-a640-efc651f7dc43
18,2018-07-31,19:37:58.680,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2098 Task com.simplivity.task.vmware.datastore.create.getvmkernelnics:session_map = 1|12:10.1.182.211:50:{SVT-UPN-TAG}Administrator@SCRUMAD13.HYPER-V.LOCAL|, task_priority = 2000 created with id c5715e66-faa4-4bbb-bb70-cab114cfd390",1e94aefc,"taskmanagerservice.cpp:2098 Task com.simplivity.task.vmware.datastore.create.getvmkernelnics:session_map = 1|12:10.1.182.211:50:{SVT-UPN-TAG}Administrator@SCRUMAD13.HYPER-V.LOCAL|, task_priority = 2000 created with id c5715e66-faa4-4bbb-bb70-cab114cfd390"
